case,factor,time_s,theta_deg,omega_rock_rad_s,command_theta_deg
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0,3.583314024814096e-15,0.0,0.0
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,1e-05,2.8902798846172734e-10,2.522338773843074e-06,0.0911055875006048
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,2e-05,9.224198369095883e-09,4.019218064421608e-05,0.1822075783086128
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,3.0000000000000004e-05,6.977287907015185e-08,0.00020246344622623853,0.2733023758734186
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,4e-05,2.927760384404586e-07,0.0006365269880186761,0.36438638392839345
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,5e-05,8.895597049075443e-07,0.0015456866645560282,0.45545600663286023
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,6.000000000000001e-05,2.2036229819731818e-06,0.003187721422218201,0.546507648714051
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,7.000000000000001e-05,4.741330113804196e-06,0.005873078036898009,0.6375377156090412
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,8e-05,9.201672908575636e-06,0.009963457781084428,0.7285426136066586
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,9e-05,1.6505139441651468e-05,0.015869985929764952,0.8195187499893557
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0001,2.7821432992643845e-05,0.02405122427875579,0.9104625331750439
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00011,4.4596373397555264e-05,0.035012275183915025,1.001370372858884
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00012000000000000002,6.857800076677178e-05,0.049302258908497085,1.0922386801550246
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00013000000000000002,0.00010184095945361413,0.06751252791338301,1.1830638677382845
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00014000000000000001,0.00014681096000383333,0.09027647025934486,1.273842349985776
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00015000000000000001,0.00020628759262958217,0.11826515224161799,1.3645705431184578
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00016,0.00028346577354298845,0.15218764823172232,1.455244865342616
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00017,0.0003819571301584925,0.19278977659233543,1.5458617369912688
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00018,0.0005058100228579049,0.24084835489504638,1.6364175806654846
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00019,0.0006595273599842226,0.29717464458304105,1.7269088213756112
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0002,0.0008480865122299307,0.36261081263335804,1.8173318866824117
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00021,0.0010769532162474163,0.4380227887152792,1.9076832068380964
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00022,0.0013520991892399157,0.5243085086268281,1.997959214927252
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00023,0.0016800177664059834,0.6223886232760117,2.0881563470076565
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00024000000000000003,0.0020677347893960454,0.7332029150041439,2.178271042250978
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00025,0.0025228207879236953,0.8577188159846842,2.2682997430833476
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00026000000000000003,0.003053409733487825,0.9969177402343963,2.358238895325812
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00027,0.003668197112149078,1.1517969171779943,2.4480849483346416
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00028000000000000003,0.004376456913533336,1.3233767388962812,2.537834355141503
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00029,0.0051880547461606915,1.512679614378056,2.6274835725934915
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00030000000000000003,0.006113436265120293,1.720744571326394,2.7170290614930073
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00031,0.0071636597915695896,1.948627355760068,2.806467286737474
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00032,0.008350376279125913,2.1973721002382405,2.895794717458902
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00033000000000000005,0.009685838412514807,2.468043959256062,2.9850078271632796
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00034,0.011182924456783183,2.761711835719649,3.0741030938697924
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00035000000000000005,0.012855105769786681,3.0794264200385117,3.163077000249867
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00036,0.014716462883335567,3.4222604550575686,3.2519260337660274
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00037000000000000005,0.016781703094680658,3.7912740352146344,3.3406466868105635
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00038,0.019066111907682065,4.187508312695469,3.429235456844008
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00039000000000000005,0.02158560186957578,4.612028564094442,3.5176888465334084
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0004,0.02435667052722953,5.065857490774679,3.6060033638903946
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00041000000000000005,0.027396390647840253,5.550016781989223,3.6941755224090413
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00042,0.030722456787373113,6.065537886567623,3.7822018412035057
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00043000000000000004,0.0343531035936067,6.613391227495717,3.8700788451454455
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00044,0.03830713023802734,7.194560455942872,3.9578030650012157
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00045000000000000004,0.042603929820333,7.810018714890678,4.045371037568826
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00046,0.04726337421644417,8.460667382575918,4.132779305814654
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00047000000000000004,0.05230592849180518,9.147438418408278,4.220024419009942
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00048000000000000007,0.05775252429090222,9.871216482080353,4.307102932867007
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0004900000000000001,0.0636245904780637,10.632824556667234,4.3940114096752225
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0005,0.06994405234214265,11.433116765164403,4.480746418436738
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00051,0.07673335071287359,12.27287099288312,4.56730453500192
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0005200000000000001,0.08401521696121216,13.152816582953161,4.653682342204538
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0005300000000000001,0.09181294211858188,14.073708587907356,4.7398764299966665
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00054,0.10015021627332302,15.036192828543857,4.825883395583307
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00055,0.1090509546423796,16.04089979623956,4.911699843556725
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0005600000000000001,0.11853958271406509,17.088455279706125,4.997322386030497
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0005700000000000001,0.12864085465656783,18.179363343003313,5.082747642773256
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00058,0.13937963557104088,19.314134669014763,5.167972241342136
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00059,0.15078125343481924,20.493241430741907,5.252992817215913
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0006000000000000001,0.16287121184354336,21.717031779353437,5.337806013927831
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0006100000000000001,0.17567530686451846,22.985900362239672,5.422408483198107
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00062,0.18921928949228548,24.300116741935334,5.506796885066116
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00063,0.2035292896065921,25.65988272997748,5.5909678880222495
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00064,0.21863154904026302,27.065441540174103,5.674918169139435
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0006500000000000001,0.23455216625658903,28.516851414751432,5.75864441420432
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0006600000000000001,0.25131748241871504,30.01416769927105,5.842143317848109
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00067,0.2689539859227369,31.557449112118423,5.925411583677061
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00068,0.2874877076134266,33.14653888672616,6.008445924402621
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0006900000000000001,0.3069449968717126,34.78133636130985,6.091243061971191
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0007000000000000001,0.3273521010688815,36.461690243518206,6.173799727693554
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00071,0.3487348311602662,38.187235819757795,6.256112662373905
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00072,0.3711190859183491,39.95769899309138,6.338178616438528
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0007300000000000001,0.3945305160407501,41.77268785742907,6.419994350064073
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0007400000000000001,0.4189945969730721,43.63167096652942,6.501556633305468
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00075,0.4445361601425084,45.534152719241256,6.582862246223429
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00076,0.47118008196751826,47.479498925955255,6.663907979011574
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0007700000000000001,0.49895086086427753,49.46699344909394,6.744690632123146
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0007800000000000001,0.5278721552159753,51.49594608251149,6.825207016397323
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00079,0.5579676709082796,53.56545411631105,6.905453953185117
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0008,0.5892604930243308,55.67463772109583,6.985428274474872
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0008100000000000001,0.6217727970764759,57.82256897883977,7.065126823017319
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0008200000000000001,0.6555266817165352,60.0081061642471,7.144546452450228
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0008300000000000001,0.6905435969443294,62.23020538371372,7.223684027422618
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00084,0.7268436918067928,64.48768150219261,7.302536423718531
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0008500000000000001,0.7644471552114755,66.77919033562354,7.381100528380384
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0008600000000000001,0.8033733113188837,69.10349703739429,7.459373239831843
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0008700000000000001,0.8436401707850193,71.4591647601757,7.537351468000288
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00088,0.8852654610633034,73.84466599624889,7.6150321344387875
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0008900000000000001,0.9282659153552031,76.25857349969993,7.692412172447644
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0009000000000000001,0.9726576164028801,78.69922165196724,7.769488527195452
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0009100000000000001,1.0184549187284648,81.16489558218973,7.846258155839701
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00092,1.0656719388982745,83.65398662346404,7.922718027646902
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00093,1.1143219897544898,86.1645963211112,7.998865124112239
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0009400000000000001,1.164416094115452,88.69487895090838,8.074696439078727
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0009500000000000001,1.2159655263547535,91.24300934114682,8.150208978855893
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0009600000000000001,1.2689802855763042,93.80689556927936,8.22539976233797
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00097,1.3234680981774312,96.38458486474966,8.300265821121569
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0009800000000000002,1.3794367262556935,98.97402178063606,8.374804199622881
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00099,1.4368925051893908,101.57299192482698,8.449011955194354
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.001,1.4958395445852684,104.17939149148927,8.52288615824086
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00101,1.5562828922933114,106.79126984086561,8.596423892335359
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00102,1.6182245503998878,109.40761672051502,8.669622254334024
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00103,1.6816663441482116,112.02782717242268,8.742478354490858
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0010400000000000001,1.7466118680538354,114.651179731703,8.81498931657178
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0010500000000000002,1.8130618585859941,117.27697334864477,8.88715227796816
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0010600000000000002,1.8810168864482044,119.90459452068168,8.95896438980985
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00107,1.9504794186743508,122.53326784904061,9.030422817077632
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00108,2.021449358925716,125.16235635881885,9.101524738715158
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00109,2.0939255614932435,127.79118326484064,9.172267347740304
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0011,2.167909629820103,130.41898307850184,9.242647851356
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00111,2.2434001860747608,133.0451572975009,9.312663471060475
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0011200000000000001,2.320394935478343,135.668959638014,9.382311442756944
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0011300000000000001,2.3988942469103827,138.28967928974117,9.451589016862743
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0011400000000000002,2.478895589658274,140.9067199168588,9.520493458417869
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0011500000000000002,2.5603957271521134,143.51925619246188,9.589022047192953
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00116,2.643393601369582,146.12666418203744,9.657172077796648
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00117,2.7278853079923424,148.7283103127446,9.724940859782441
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00118,2.8138666698284958,151.32333815212365,9.792325717754855
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00119,2.9013356116667364,153.91118573436844,9.85932399147508
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0012000000000000001,2.9902856218279408,156.49115978796874,9.925933035965986
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0012100000000000001,3.080714677921603,159.06247877732832,9.992150221616553
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0012200000000000002,3.1726161770076087,161.62453913074572,10.057972934285672
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0012300000000000002,3.2659838599604747,164.1766308610685,10.123398575405355
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00124,3.3608142798476353,166.71798769625698,10.188424562083313
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00125,3.4570996759058543,169.24804096119894,10.25304832720494
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00126,3.5548328249240906,171.76603108236552,10.317267319534638
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00127,3.654008448687467,174.2712415609477,10.381079003816552
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00128,3.7546184591766796,176.76311899254776,10.44448086087465
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0012900000000000001,3.856653678895654,179.24079736867552,10.507470387712177
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0013000000000000002,3.9601084045212853,181.70371493162355,10.570045097610468
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0013100000000000002,4.064972583525411,184.1512575742417,10.632202520227121
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0013200000000000002,4.171236472359299,186.58254314706323,10.693940201693522
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00133,4.278892796705759,188.9970452713636,10.755255704711718
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00134,4.3879313470725245,191.39414753041322,10.81614660865064
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00135,4.498339795711939,193.7729562146003,10.876610509641663
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00136,4.610110859452625,196.13303431654117,10.936645020673506
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0013700000000000001,4.723232175312063,198.47364692427234,10.996247771686468
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0013800000000000002,4.837691274965213,200.79402247658874,11.055416409665995
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0013900000000000002,4.953478834342273,203.09368123424898,11.114148598735575
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0014000000000000002,5.070581976665659,205.37186955802275,11.172442020248944
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00141,5.188986451075777,207.62788339173838,11.230294372881641
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00142,5.308682985804656,209.86125656854412,11.28770337272184
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00143,5.429656466596857,212.0711587918821,11.344666753360528
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00144,5.55189253494622,214.25699965569135,11.401182265980975
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0014500000000000001,5.675379472225571,216.41827797851775,11.45724767944751
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0014600000000000001,5.800101033870149,218.55412736305124,11.512860780393613
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0014700000000000002,5.926044606200359,220.66412426737415,11.568019373309282
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0014800000000000002,6.053194568073671,222.74761812203695,11.622721280627712
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0014900000000000002,6.181533836033791,224.80382891730693,11.676964342811269
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0015,6.311049907869464,226.8323518076556,11.730746418436738
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00151,6.44172486817996,228.83248777209425,11.784065384279863
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00152,6.573541221485833,230.80355496938537,11.83691913539917
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0015300000000000001,6.706485585192701,232.74514578633134,11.88930558521906
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0015400000000000001,6.840538754587441,234.6565021892344,11.941222665612198
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0015500000000000002,6.975682234638952,236.53705293779208,11.992668326981146
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0015600000000000002,7.111901050654475,238.38637560319822,12.043640538339286
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0015700000000000002,7.249176272462721,240.20369522570198,12.094137287390984
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00158,7.387487278184486,241.98852376063613,12.144156580611055
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00159,7.526818641347071,243.740388498224,12.193696443323452
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0016,7.6671501043754136,245.45855033831353,12.242754919779218
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00161,7.808460122386408,247.14258603767894,12.291330073233707
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0016200000000000001,7.950732882623773,248.7919730957865,12.339419986023033
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0016300000000000002,8.093945927968631,250.40602229227557,12.387022759639782
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0016400000000000002,8.23807846157034,251.98438984433253,12.434136514807959
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0016500000000000002,8.383112172925353,253.5264437425292,12.480759391557182
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0016600000000000002,8.5290254262385,255.03163750230058,12.526889549296113
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00167,8.675793896725915,256.4996140532069,12.572525166885105
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00168,8.823401045742365,257.9296932561565,12.617664442708122
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00169,8.971822525142873,259.3214403377155,12.662305594743842
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0017000000000000001,9.121034913712718,260.6744685951732,12.706446860636024
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0017100000000000001,9.27101906463624,261.98812868927587,12.750086497763068
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0017200000000000002,9.42174980192195,263.26206573333,12.793222783306822
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0017300000000000002,9.573204417526622,264.49583344736067,12.835854014320601
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0017400000000000002,9.725361285591791,265.6888279852894,12.877978507796396
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00175,9.878194179271636,266.84074613271247,12.919594600731333
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00176,10.031683164078515,267.951151362214,12.960700650193324
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00177,10.18580294692002,269.01944731698416,13.00129503338592
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0017800000000000001,10.34052566723601,270.04543881751437,13.04137614771238
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0017900000000000001,10.495832269279578,271.0285359760217,13.080942410838944
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0018000000000000002,10.651695665038522,271.9683588723388,13.119992260757284
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0018100000000000002,10.808089664189106,272.86462592307464,13.158524155846196
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0018200000000000002,10.964990929403989,273.71680256986156,13.19653657493244
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0018300000000000002,11.12237404159178,274.524546698745,13.234028017350791
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00184,11.2802102229059,275.28760775373496,13.270997003003304
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00185,11.438478753514378,276.0054515163825,13.307442072417727
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00186,11.597149913613364,276.6778319060996,13.34336178680512
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0018700000000000001,11.756197382208704,277.30440688317276,13.378754728116666
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0018800000000000002,11.915597839358238,277.88473418580196,13.413619499099644
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0018900000000000002,12.075321642868575,278.4186634328683,13.44795472335259
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0019000000000000002,12.235341564964298,278.9057312856594,13.481759045379647
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0019100000000000002,12.395633487511928,279.3456488489482,13.51503113064406
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0019200000000000003,12.556169334718122,279.738267254585,13.547769665620876
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00193,12.71691766366865,280.0831274412267,13.57997335784879
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00194,12.877856864767642,280.37997154975534,13.611640935981175
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0019500000000000001,13.038957236056467,280.6287115953242,13.642771149836271
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.0019600000000000004,13.20018727288816,280.82886180870776,13.673362770446536
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00197,13.361522604124554,280.98028564088924,13.703414590107169
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00198,13.522937421501329,281.0828403672862,13.732925422423794
TRUECEL_B0P11_G2P20_F100_NOFLUID_CONTROL,0.0,0.00199,13.684397199623243,281.13609962831384,13.761894102359271
