time_s,Jmag_x_Nmm_s,Jmag_y_Nmm_s,Jmag_z_Nmm_s,Jmag_norm_Nmm_s,Jhydro_norm_Nmm_s
0.0,0.0,0.0,0.0,0.0,0.0
5.0099999498343095e-05,7.427145601054503e-11,-1.7999194870001122e-09,-1.1348760475025472e-09,2.1291242453308536e-09,1.653805094032663e-14
0.0001000999982352,4.256507709464918e-10,-1.0527652402766344e-08,-6.602306345336865e-09,1.243394920248409e-08,1.616786664569881e-13
0.0001500999933341,1.2860668991649644e-09,-3.251451063407282e-08,-2.0275371119078542e-08,3.833977104598731e-08,7.129689067238073e-13
0.000200099995709,2.8363505107955062e-09,-7.338476256529306e-08,-4.549277943044572e-08,8.638843233495855e-08,2.1102321235477572e-12
0.0002500000118743,5.203735893732557e-09,-1.3789579384940736e-07,-8.497565524418072e-08,1.6205922007953707e-07,4.927394152446719e-12
0.0003000999859068,8.49274878044027e-09,-2.307078268257788e-07,-1.4131147137110824e-07,2.7067907211601853e-07,9.890813231525592e-12
0.0003499999875202,1.272171436612846e-08,-3.5452586528901936e-07,-2.1583956078394757e-07,4.152555203422932e-07,1.77614189818119e-11
0.0004000999906565,1.792842602781946e-08,-5.130737436104249e-07,-3.104636737498848e-07,5.999614883978187e-07,2.9489724729215346e-11
0.0004500999930314,2.404873760125293e-08,-7.074620552555931e-07,-4.2548452354689685e-07,8.25904341424969e-07,4.596014376207706e-11
0.0005000000237487,3.100261002400718e-08,-9.386542077715082e-07,-5.611017912240856e-07,1.0940146725297315e-06,6.812246292765354e-11
0.0005500999977812,3.872086178081802e-08,-1.2085355073921607e-06,-7.180343980753164e-07,1.4062826083629346e-06,9.71281078353138e-11
0.0006000999710522,4.7008074172120956e-08,-1.5151613837945124e-06,-8.947677808399486e-07,1.7602650821989054e-06,1.3381644754386307e-10
0.0006501000025309,5.56891494650014e-08,-1.8577368894337706e-06,-1.0904782554339887e-06,2.154862050643974e-06,1.7920389927726566e-10
0.0006999999750405,6.451923902686952e-08,-2.23329321405261e-06,-1.3031278380750321e-06,2.5864847717518367e-06,2.3408445252930025e-10
0.0007500000065192,7.327137377682223e-08,-2.640233889308791e-06,-1.5314962159631351e-06,3.053143354639472e-06,2.9951759126932647e-10
0.0008000999805517,8.164998508645241e-08,-3.074673766994437e-06,-1.7731156197315561e-06,3.550242878233037e-06,3.7630942839708963e-10
0.0008501000120304,8.930176701656261e-08,-3.5298363263059707e-06,-2.023992546241573e-06,4.069922004577355e-06,4.6477177638098495e-10
0.0009000999853014,9.590914757153354e-08,-4.0005345320831155e-06,-2.281110584395815e-06,4.6061850381004e-06,5.655148870396687e-10
0.0009500000160187,1.0112863444128749e-07,-4.478816588847641e-06,-2.5400398197455562e-06,5.149934691152288e-06,6.785941839409636e-10
0.0010000000474974,1.0466687489887462e-07,-4.958713777581603e-06,-2.797533875173834e-06,5.694382606167576e-06,8.045599651253076e-10
0.0010500999633222,1.0940735522085092e-07,-5.438298785105817e-06,-3.0520265351608244e-06,6.23714114132313e-06,8.67546302076334e-10
0.0011000999948009,1.1864724803161846e-07,-5.917817351207014e-06,-3.303102973129912e-06,6.778283604483656e-06,8.687147274987263e-10
