rho,time_s,safe_axis_component,danger_axis_component
0.5,0.0016000049654394,0.22797686966684677,0.7822947039125756
0.5,0.0017000631196424,0.19207323362837375,0.7968287958816973
0.5,0.0018000535201281,0.16601462889378066,0.8130655982966131
0.5,0.0019000484608113,0.13127457225283756,0.8318923922287933
0.5,0.002000059466809,0.12485971864298226,0.8511761091444974
0.5,0.0021000010892748,0.1280654561091382,0.8712889837089457
0.5,0.0022000833414494,0.14004253404754038,0.8912435180592376
0.5,0.0023000345099717,0.14910920966973043,0.905702064172415
0.5,0.002400042489171,0.10427595490137193,0.9035862395517913
0.5,0.0025000090245157,0.08652930200143077,0.902194180194023
0.5,0.0026000451762229,0.07846793777327898,0.9031548949555698
0.5,0.0027000687550753,0.07969455709273865,0.9064501418791698
0.5,0.0028000453021377,0.07227794879360167,0.9120748673650962
0.5,0.002900016028434,0.09124089167669078,0.9189815563073791
0.5,0.003000000026077,0.11451707133034855,0.9205789603791023
0.4,0.0,0.047770930977797124,0.6456561376046551
0.4,0.000100101402495,0.04779543060022365,0.6456659410343917
0.4,0.0002000974782276,0.048143363189801766,0.6458069539114056
0.4,0.0003000949509441,0.04956318570019019,0.6463894188909136
0.4,0.0004000964399892,0.05313081115808947,0.6478662396285667
0.4,0.0005000106757506,0.06001758795530904,0.6507616150972504
0.4,0.0006000370485708,0.07172169615130754,0.6556621824799049
0.4,0.0007000611512921,0.08961584304366652,0.6630055331199785
0.4,0.0008000059169717,0.11480594987086887,0.672982111133005
0.4,0.0009000400896184,0.1480067095529726,0.6854733850647857
0.4,0.001000058487989,0.1893020537214481,0.6999379044909428
0.4,0.0011000139638781,0.2381781704072953,0.7154235142715395
0.4,0.0012000863207504,0.2775287012040383,0.7295346182543322
0.4,0.0013000426115468,0.27000413513881083,0.7410041906011731
0.4,0.0014000559458509,0.27215301039871476,0.7545954758861089
0.4,0.0015000704443082,0.27422721678048334,0.7691650187099283
0.4,0.0016000049654394,0.22797686966684677,0.7822947039125756
0.4,0.0017000631196424,0.19207323362837375,0.7968287958816973
0.4,0.0018000535201281,0.16601462889378066,0.8130655982966131
0.4,0.0019000484608113,0.13127457225283756,0.8318923922287933
0.4,0.002000059466809,0.12485971864298226,0.8511761091444974
0.4,0.0021000010892748,0.1280654561091382,0.8712889837089457
0.4,0.0022000833414494,0.14004253404754038,0.8912435180592376
0.4,0.0023000345099717,0.14910920966973043,0.905702064172415
0.4,0.002400042489171,0.10427595490137193,0.9035862395517913
0.4,0.0025000090245157,0.08652930200143077,0.902194180194023
0.4,0.0026000451762229,0.07846793777327898,0.9031548949555698
0.4,0.0027000687550753,0.07969455709273865,0.9064501418791698
0.4,0.0028000453021377,0.07227794879360167,0.9120748673650962
0.4,0.002900016028434,0.09124089167669078,0.9189815563073791
0.4,0.003000000026077,0.11451707133034855,0.9205789603791023
