time_s,increment,min_gap_um,HEAD_gap_um,TAIL_gap_um,nearest_wall_sector_deg
0.0,0,261.37053281403155,487.66692894432686,261.37053281403155,251.4230257791777
1.9999899450340308e-05,200,261.37044388286284,487.666848371568,261.37044388286284,251.4230257791777
3.9999798900680616e-05,400,261.3691224849646,487.66564971686046,261.3691224849646,251.4230257791777
5.999970017001033e-05,600,261.3634566868427,487.6605033158644,261.3634566868427,251.4230257791777
7.999959780136123e-05,800,261.3483697828989,487.6467805352603,261.3483697828989,251.4230257791777
9.999950270866975e-05,1000,261.3169141574177,487.6181292332909,261.3169141574177,251.4230257791777
0.00011999940034002066,1200,261.26036497562086,487.56654993956295,261.26036497562086,251.4230257791777
0.00013999930524732918,1400,261.16831384334796,487.4824731060436,261.16831384334796,251.4230257791777
0.00015999919560272247,1600,261.02876262364225,487.3548378110788,261.02876262364225,251.4230257791777
0.00017999910051003098,1800,260.82821755326324,487.17117246852433,260.82821755326324,251.4230257791777
0.0001999990054173395,2000,260.55178386872115,486.9176779125623,260.55178386872115,251.4230257791777
0.0002199988957727328,2200,260.18326130139053,486.5793133234534,260.18326130139053,251.4230257791777
0.0002399988006800413,2400,259.70524017820173,486.139886134242,259.70524017820173,251.4230257791777
0.0002599986910354346,2600,259.0991994246718,485.5821450878951,259.0991994246718,251.4230257791777
0.00027999861049465835,2800,258.34560510687896,484.887879195184,258.34560510687896,251.4230257791777
0.00029999850085005164,3000,257.42401139186205,484.0380203160994,257.42401139186205,251.4230257791777
0.00031999839120544493,3200,256.3131632908435,483.01275276798765,256.3131632908435,251.4230257791777
0.0003399983106646687,3400,254.9911013722035,481.79162875858907,254.9911013722035,251.4230257791777
0.00035999820102006197,3600,253.43526974304615,480.35368876959467,253.43526974304615,251.4230257791777
0.00037999809137545526,3800,251.62262545733455,478.6775930538734,251.62262545733455,251.4230257791777
0.000399998010834679,4000,249.52975455573264,476.74175812238883,249.52975455573264,251.4230257791777
0.0004199979011900723,4200,247.13298581470434,474.5244995339434,247.13298581470434,251.4230257791777
0.0004399977915454656,4400,244.40851681655084,472.0041885672825,244.40851681655084,251.4230257791777
0.00045999771100468934,4600,241.33253606112538,469.15941085460634,241.33253606112538,251.4230257791777
0.0004799976013600826,4800,237.88135661827954,465.9691462686925,237.88135661827954,251.4230257791777
0.0004999975208193064,5000,234.0315560145289,462.4129441247863,234.0315560145289,251.4230257791777
0.0005199973820708692,5200,229.76011443192039,458.4711130232622,229.76011443192039,251.4230257791777
0.000539997301530093,5400,225.0445680626347,454.1249320594793,225.0445680626347,251.4230257791777
0.0005599972209893167,5600,219.8631705290311,449.356860812549,219.8631705290311,251.4230257791777
0.0005799970822408795,5800,214.19505304989133,444.1507542898526,214.19505304989133,251.4230257791777
0.0005999970017001033,6000,208.02041083779616,438.49210936982564,208.02041083779616,251.4230257791777
0.000619996921159327,6200,201.32067863356028,432.3683040001358,201.32067863356028,251.4230257791777
0.0006399967824108899,6400,194.07873235142154,425.7688431067345,194.07873235142154,251.4230257791777
0.0006599967018701136,6600,186.27909536747418,418.68564042068357,186.27909536747418,251.4230257791777
0.0006799966213293374,6800,176.858002172432,411.11326840670984,176.858002172432,220.593855441266
0.0006999964825809002,7000,165.22878224243556,403.0492341991553,165.22878224243556,220.593855441266
0.0007199964020401239,7200,152.83669372550668,394.4942810947337,152.83669372550668,220.593855441266
0.0007399963214993477,7400,139.6752810636601,385.45265254923885,139.6752810636601,220.593855441266
0.0007599961827509105,7600,125.74209703113351,375.93237687316173,125.74209703113351,220.593855441266
0.0007799961022101343,7800,111.0390653406463,365.94554244853924,111.0390653406463,220.593855441266
0.000799996021669358,8000,95.6560090094479,355.5085481306443,95.6560090094479,220.593855441266
0.0008199958829209208,8200,79.88742781005836,344.6423711627195,79.88742781005836,220.75850295664523
0.0008399958023801446,8400,63.423264492455765,333.3728104261727,63.423264492455765,220.75850295664523
0.0008599957218393683,8600,46.28812705632516,321.7306274579127,46.28812705632516,220.75850295664523
0.0008799955830909312,8800,28.513267660032074,309.75177411145177,28.513267660032074,220.75850295664523
0.0008999955025501549,9000,10.136236802994173,296.467501619222,10.136236802994173,220.75850295664523
0.0009199954220093787,9200,4.053738932473041,284.5867222996786,4.053738932473041,220.75850295664523
0.0009399952832609415,9400,14.34270224822012,275.0416226807117,14.34270224822012,220.75850295664523
0.0009599952027201653,9600,23.796764987191544,264.87938342591207,23.796764987191544,220.75850295664523
0.000979995122179389,9800,32.412886259793154,254.10441822816105,32.412886259793154,220.75850295664523
0.0009999950416386127,10000,40.19224008826364,242.72509746867377,40.19224008826364,220.75850295664523
0.0010199948446825147,10200,47.14014720736402,230.75369334990006,47.14014720736402,220.75850295664523
0.0010399947641417384,10400,53.26526463539794,218.20577504322713,53.26526463539794,220.75850295664523
0.0010599946836009622,10600,58.57866942629665,205.09960320932365,58.57866942629665,220.75850295664523
0.001079994603060186,10800,63.09370031314647,191.4559491570716,63.09370031314647,220.75850295664523
0.0010999945225194097,11000,66.82609225486307,177.29829563335124,66.82609225486307,220.75850295664523
0.0011199944419786334,11200,69.79400476621997,162.6528217739093,69.79400476621997,220.75850295664523
0.0011399942450225353,11400,72.01801831321792,147.54841847615603,72.01801831321792,220.75850295664523
0.001159994164481759,11600,73.52122429325185,132.0560484100969,73.52122429325185,220.75850295664523
0.0011799940839409828,11800,74.32924825065906,116.17723424088523,74.32924825065906,220.75850295664523
0.0011999940034002066,12000,74.4702618215517,99.94668063748927,74.4702618215517,220.75850295664523
